,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,kapaa,75,US,1573397046,94,22.08,-159.32,73.4,6.93
1,ushuaia,0,AR,1573397046,76,-54.81,-68.31,48.2,5.82
2,faanui,100,PF,1573397046,79,-16.48,-151.75,79.81,19.93
3,touros,75,BR,1573397047,55,-5.2,-35.46,86.0,16.11
4,san felipe,0,CL,1573397047,27,-32.75,-70.73,91.99,5.7
5,souillac,33,FR,1573397048,66,45.6,-0.6,52.0,11.41
6,rikitea,99,PF,1573397049,80,-23.12,-134.97,72.63,17.16
7,nikolskoye,75,RU,1573397049,87,59.7,30.79,50.0,6.71
8,abu kamal,0,SY,1573397049,23,34.45,40.92,70.5,5.64
9,harper,1,US,1573397050,87,30.3,-99.24,55.0,16.13
10,atuona,6,PF,1573397050,75,-9.8,-139.03,78.75,13.96
11,jamestown,0,AU,1573397050,27,-33.21,138.6,58.86,7.16
12,east london,75,ZA,1573397051,93,-33.02,27.91,66.2,11.41
13,saldanha,100,PT,1573397051,66,41.42,-6.55,47.57,15.37
14,port elizabeth,90,US,1573396783,61,39.31,-74.98,51.01,8.05
15,matara,100,BI,1573397051,90,-3.48,29.48,64.22,3.49
16,albany,90,US,1573397052,44,42.65,-73.75,41.0,11.41
17,qaanaaq,0,GL,1573397052,36,77.48,-69.36,-4.55,5.59
18,mataura,100,NZ,1573397052,88,-46.19,168.86,45.0,2.57
19,puerto ayora,40,EC,1573397052,73,-0.74,-90.35,73.4,10.29
20,castro,73,CL,1573397053,63,-42.48,-73.76,62.6,6.93
21,nelson bay,40,AU,1573396851,82,-32.72,152.14,64.0,3.36
22,provideniya,100,RU,1573397054,98,64.42,-173.23,31.98,8.59
23,comodoro rivadavia,40,AR,1573397054,66,-45.87,-67.48,55.4,9.17
24,shreveport,1,US,1573396921,76,32.52,-93.77,53.01,4.7
25,upernavik,87,GL,1573397055,59,72.79,-56.15,20.35,5.08
26,severo-kurilsk,100,RU,1573397056,80,50.68,156.12,29.95,14.74
27,lengshuijiang,21,CN,1573397056,61,27.66,111.45,58.24,1.77
28,keti bandar,0,PK,1573396810,41,24.14,67.45,79.0,12.46
29,pangnirtung,76,CA,1573397058,61,66.15,-65.72,16.97,10.31
30,portland,90,US,1573396904,51,43.66,-70.25,43.0,9.17
31,caravelas,8,BR,1573397059,44,-17.73,-39.27,89.11,9.15
32,butaritari,75,KI,1573397059,65,3.07,172.79,84.07,3.67
33,cherskiy,0,RU,1573397060,68,68.75,161.3,0.55,1.1
34,bani,0,YE,1573397061,50,16.02,42.93,87.42,10.69
